Entity Name,Type,Address,BEN Number,FRN Number,DUB Number,SAM ID,Contract Number,Students Over 3,Students with Lunch,CEP Score,Physical Size,District Percentage,State,City,Zip,Total Funding Committed,Funding Years Active
"Ahi Ezer Yeshiva School","School","NY","17012285","1799048007","","","","","","","","","NY","","","$72,440.97","2025, 2024, 2022, 2021, 2020"
"Adolph Schreiber Hebrew Acad","School","NY","11270","1699000324","","","","","","","","","NY","","","$69,421.72","2025, 2024, 2023, 2022, 2021"
"Ateres Bnos Ita","School","NV","17029505","5","","","","","","","","","NV","","","$156.00","2022"
"Bais Chana Heritage School, Inc.","School","CA","17029458","2399057965","","","","","","","","","CA","","","$8,499.60","2025, 2023"
"Bais Chaya Inc","School","FL","16041280","1699013571","","","","","","","","","FL","","","$110,340.00","2025, 2024, 2023, 2022, 2016"
"Yeshiva Bais Chaya Esther","School","NY","17012622","1799060949","","","","","","","","","NY","","","$306,012.73","2025, 2024, 2023, 2022, 2018"
"Bais Reuvan Kaminetz Of Lakewood","School","NJ","210145","1699005977","","","","","","","","","NJ","","","$214,429.03","2025, 2024, 2023, 2022, 2018"
"Bais Yaakov Of Waterbury","School","CT","17028375","2199063347","","","","","","","","","CT","","","$27,126.52","2025, 2024, 2023, 2022, 2021"
"Battalion Christian Academy","School","NY","16069179","1699049833","","","","","","","","","NY","","","$94,905.23","2025, 2024, 2023, 2019, 2018"
"Broadway Housing Communities School District","School District","NY","17048683","2599061652","","","","","","","","","NY","","","$104,517.08","2025"
"Beth Jacob Parochial School","School","NY","9833","1699088003","","","","","","","","","NY","","","$67,697.96","2025, 2023, 2021, 2020, 2019"
"Bnos Bais Yaakov High School","School","NJ","16046699","1699100719","","","","","","","","","NJ","","","$41,615.12","2025, 2024, 2023, 2022, 2018"
"Brandeis School,","School","NY","12746","1899053628","","","","","","","","","NY","","","$17,175.40","2025, 2024, 2023, 2022, 2021"
"Bronx-Manhattan Sda School","School","NY","10422","1699100194","","","","","","","","","NY","","","$171,251.65","2025, 2024, 2023, 2022, 2021"
"Chabad Hebrew Academy Dba Of Friends Of Chabad Lubavitch San Siego","School","CA","197225","1699014281","","","","","","","","","CA","","","$297,250.43","2025, 2024, 2023, 2022, 2021"
"Chabad Lubavitch Of Southside","School","FL","16067193","1699006148","","","","","","","","","FL","","","$9,280.00","2025, 2024, 2023, 2022, 2017"
"Chabad Of Southern Nevada Dba Dessert Torah Academy","School","NV","221877","1699017787","","","","","","","","","NV","","","$126,706.45","2025, 2024, 2023, 2022, 2021"
"Cheder Chabad Inc.","School","MD","16068065","1699136561","","","","","","","","","MD","","","$198,290.26","2025, 2024, 2023, 2022, 2021"
"Congregation Ohr Menachem","School","NY","16044231","1699059455","","","","","","","","","NY","","","$1,841,768.86","2025, 2024, 2023, 2022, 2021"
